Title,Brand,Price_PKR,Year,Mileage,City
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
Daihatsu Rocky  2019 G for Sale,Daihatsu,5275000.0,2019.0,1000.0,Karachi
Mercedes Benz C Class  2018 C180 Exclusive for Sale,Mercedes,14500000.0,2018.0,1600.0,Karachi
Suzuki Cultus  2018 VXL for Sale,Suzuki,3025000.0,2018.0,1000.0,Lahore
"Nissan Juke  2013 15RS for Sale
6.6/10",Nissan,3350000.0,2013.0,1500.0,Lahore
Toyota Passo  2012  for Sale,Toyota,1925000.0,2012.0,1000.0,Karachi
"Toyota Passo  2008 X for Sale
5.1/10",Toyota,1700000.0,2008.0,1000.0,Karachi
Daihatsu Rocky  2020 Premium G for Sale,Daihatsu,5700000.0,2020.0,1000.0,Islamabad
"Suzuki Cultus  2021 Auto Gear Shift for Sale
8.1/10",Suzuki,3500000.0,2021.0,1000.0,Faisalabad
"Toyota Corolla  2013 GLi 1.3 VVTi for Sale
7.9/10",Toyota,3000000.0,2013.0,1300.0,Rawalpindi
"KIA Sorento  2025 1.6T HEV AWD for Sale
9.9/10",KIA,17500000.0,2025.0,1600.0,Lahore
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,Toyota,3095000.0,2010.0,1300.0,Lahore
"Nissan Patrol 6th (Y62) Generation 2014 Ti-L for Sale
8.6/10",Nissan,33000000.0,2014.0,5600.0,Lahore
Honda Civic  1991  for Sale,Honda,700000.0,1991.0,1700.0,Lahore
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Toyota,2550000.0,2012.0,1300.0,Rawalpindi
Daihatsu Mira  2016 X Limited for Sale,Daihatsu,2360000.0,2016.0,660.0,N/A
Toyota Sienta  2017 X for Sale,Toyota,5000000.0,2017.0,1500.0,Karachi
Suzuki Mehran  2016 VXR Euro II for Sale,Suzuki,1350000.0,2016.0,796.0,Rawalpindi
Suzuki Alto  2025 VXR Upgraded for Sale,Suzuki,2900000.0,2025.0,660.0,Lahore
Honda City  2016 1.3 i-VTEC for Sale,Honda,3400000.0,2016.0,1300.0,Lahore
Suzuki Cultus  2018 VXL for Sale,Suzuki,2610000.0,2018.0,1000.0,Lahore
Toyota Rav4  2002  for Sale,Toyota,2000000.0,2002.0,1800.0,N/A
Suzuki Mehran  2009 VXR for Sale,Suzuki,1150000.0,2009.0,800.0,Rawalpindi
Suzuki Cultus  2022 VXL for Sale,Suzuki,3800000.0,2022.0,1000.0,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,Honda,3400000.0,2018.0,1300.0,N/A
Toyota Land Cruiser  1993 79 Series 30th Anniversary for Sale,Toyota,4500000.0,1993.0,3000.0,Karachi
Toyota Corolla  1990 XL for Sale,Toyota,1300000.0,1990.0,1300.0,N/A
Toyota Premio  2007 X EX 1.8 for Sale,Toyota,3300000.0,2007.0,1800.0,Quetta
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
Daihatsu Rocky  2019 G for Sale,Daihatsu,5275000.0,2019.0,1000.0,Karachi
Mercedes Benz C Class  2018 C180 Exclusive for Sale,Mercedes,14500000.0,2018.0,1600.0,Karachi
Suzuki Cultus  2018 VXL for Sale,Suzuki,3025000.0,2018.0,1000.0,Lahore
"Nissan Juke  2013 15RS for Sale
6.6/10",Nissan,3350000.0,2013.0,1500.0,Lahore
Toyota Passo  2012  for Sale,Toyota,1925000.0,2012.0,1000.0,Karachi
"Toyota Passo  2008 X for Sale
5.1/10",Toyota,1700000.0,2008.0,1000.0,Karachi
Daihatsu Rocky  2020 Premium G for Sale,Daihatsu,5700000.0,2020.0,1000.0,Islamabad
"Suzuki Cultus  2021 Auto Gear Shift for Sale
8.1/10",Suzuki,3500000.0,2021.0,1000.0,Faisalabad
"Toyota Corolla  2013 GLi 1.3 VVTi for Sale
7.9/10",Toyota,3000000.0,2013.0,1300.0,Rawalpindi
"KIA Sorento  2025 1.6T HEV AWD for Sale
9.9/10",KIA,17500000.0,2025.0,1600.0,Lahore
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,Toyota,3095000.0,2010.0,1300.0,Lahore
"Nissan Patrol 6th (Y62) Generation 2014 Ti-L for Sale
8.6/10",Nissan,33000000.0,2014.0,5600.0,Lahore
Honda Civic  1991  for Sale,Honda,700000.0,1991.0,1700.0,Lahore
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Toyota,2550000.0,2012.0,1300.0,Rawalpindi
Daihatsu Mira  2016 X Limited for Sale,Daihatsu,2360000.0,2016.0,660.0,N/A
Toyota Sienta  2017 X for Sale,Toyota,5000000.0,2017.0,1500.0,Karachi
Suzuki Mehran  2016 VXR Euro II for Sale,Suzuki,1350000.0,2016.0,796.0,Rawalpindi
Suzuki Alto  2025 VXR Upgraded for Sale,Suzuki,2900000.0,2025.0,660.0,Lahore
Honda City  2016 1.3 i-VTEC for Sale,Honda,3400000.0,2016.0,1300.0,Lahore
Suzuki Cultus  2018 VXL for Sale,Suzuki,2610000.0,2018.0,1000.0,Lahore
Toyota Rav4  2002  for Sale,Toyota,2000000.0,2002.0,1800.0,N/A
Suzuki Mehran  2009 VXR for Sale,Suzuki,1150000.0,2009.0,800.0,Rawalpindi
Suzuki Cultus  2022 VXL for Sale,Suzuki,3800000.0,2022.0,1000.0,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,Honda,3400000.0,2018.0,1300.0,N/A
Toyota Land Cruiser  1993 79 Series 30th Anniversary for Sale,Toyota,4500000.0,1993.0,3000.0,Karachi
Toyota Corolla  1990 XL for Sale,Toyota,1300000.0,1990.0,1300.0,N/A
Toyota Premio  2007 X EX 1.8 for Sale,Toyota,3300000.0,2007.0,1800.0,Quetta
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
Daihatsu Rocky  2019 G for Sale,Daihatsu,5275000.0,2019.0,1000.0,Karachi
Mercedes Benz C Class  2018 C180 Exclusive for Sale,Mercedes,14500000.0,2018.0,1600.0,Karachi
Suzuki Cultus  2018 VXL for Sale,Suzuki,3025000.0,2018.0,1000.0,Lahore
"Nissan Juke  2013 15RS for Sale
6.6/10",Nissan,3350000.0,2013.0,1500.0,Lahore
Toyota Passo  2012  for Sale,Toyota,1925000.0,2012.0,1000.0,Karachi
"Toyota Passo  2008 X for Sale
5.1/10",Toyota,1700000.0,2008.0,1000.0,Karachi
Daihatsu Rocky  2020 Premium G for Sale,Daihatsu,5700000.0,2020.0,1000.0,Islamabad
"Suzuki Cultus  2021 Auto Gear Shift for Sale
8.1/10",Suzuki,3500000.0,2021.0,1000.0,Faisalabad
"Toyota Corolla  2013 GLi 1.3 VVTi for Sale
7.9/10",Toyota,3000000.0,2013.0,1300.0,Rawalpindi
"KIA Sorento  2025 1.6T HEV AWD for Sale
9.9/10",KIA,17500000.0,2025.0,1600.0,Lahore
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,Toyota,3095000.0,2010.0,1300.0,Lahore
"Nissan Patrol 6th (Y62) Generation 2014 Ti-L for Sale
8.6/10",Nissan,33000000.0,2014.0,5600.0,Lahore
Honda Civic  1991  for Sale,Honda,700000.0,1991.0,1700.0,Lahore
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Toyota,2550000.0,2012.0,1300.0,Rawalpindi
Daihatsu Mira  2016 X Limited for Sale,Daihatsu,2360000.0,2016.0,660.0,N/A
Toyota Sienta  2017 X for Sale,Toyota,5000000.0,2017.0,1500.0,Karachi
Suzuki Mehran  2016 VXR Euro II for Sale,Suzuki,1350000.0,2016.0,796.0,Rawalpindi
Suzuki Alto  2025 VXR Upgraded for Sale,Suzuki,2900000.0,2025.0,660.0,Lahore
Honda City  2016 1.3 i-VTEC for Sale,Honda,3400000.0,2016.0,1300.0,Lahore
Suzuki Cultus  2018 VXL for Sale,Suzuki,2610000.0,2018.0,1000.0,Lahore
Toyota Rav4  2002  for Sale,Toyota,2000000.0,2002.0,1800.0,N/A
Suzuki Mehran  2009 VXR for Sale,Suzuki,1150000.0,2009.0,800.0,Rawalpindi
Suzuki Cultus  2022 VXL for Sale,Suzuki,3800000.0,2022.0,1000.0,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,Honda,3400000.0,2018.0,1300.0,N/A
Toyota Land Cruiser  1993 79 Series 30th Anniversary for Sale,Toyota,4500000.0,1993.0,3000.0,Karachi
Toyota Corolla  1990 XL for Sale,Toyota,1300000.0,1990.0,1300.0,N/A
Toyota Premio  2007 X EX 1.8 for Sale,Toyota,3300000.0,2007.0,1800.0,Quetta
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
Daihatsu Rocky  2019 G for Sale,Daihatsu,5275000.0,2019.0,1000.0,Karachi
Mercedes Benz C Class  2018 C180 Exclusive for Sale,Mercedes,14500000.0,2018.0,1600.0,Karachi
Suzuki Cultus  2018 VXL for Sale,Suzuki,3025000.0,2018.0,1000.0,Lahore
"Nissan Juke  2013 15RS for Sale
6.6/10",Nissan,3350000.0,2013.0,1500.0,Lahore
Toyota Passo  2012  for Sale,Toyota,1925000.0,2012.0,1000.0,Karachi
"Toyota Passo  2008 X for Sale
5.1/10",Toyota,1700000.0,2008.0,1000.0,Karachi
Daihatsu Rocky  2020 Premium G for Sale,Daihatsu,5700000.0,2020.0,1000.0,Islamabad
"Suzuki Cultus  2021 Auto Gear Shift for Sale
8.1/10",Suzuki,3500000.0,2021.0,1000.0,Faisalabad
"Toyota Corolla  2013 GLi 1.3 VVTi for Sale
7.9/10",Toyota,3000000.0,2013.0,1300.0,Rawalpindi
"KIA Sorento  2025 1.6T HEV AWD for Sale
9.9/10",KIA,17500000.0,2025.0,1600.0,Lahore
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,Toyota,3095000.0,2010.0,1300.0,Lahore
"Nissan Patrol 6th (Y62) Generation 2014 Ti-L for Sale
8.6/10",Nissan,33000000.0,2014.0,5600.0,Lahore
Honda Civic  1991  for Sale,Honda,700000.0,1991.0,1700.0,Lahore
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Toyota,2550000.0,2012.0,1300.0,Rawalpindi
Daihatsu Mira  2016 X Limited for Sale,Daihatsu,2360000.0,2016.0,660.0,N/A
Toyota Sienta  2017 X for Sale,Toyota,5000000.0,2017.0,1500.0,Karachi
Suzuki Mehran  2016 VXR Euro II for Sale,Suzuki,1350000.0,2016.0,796.0,Rawalpindi
Suzuki Alto  2025 VXR Upgraded for Sale,Suzuki,2900000.0,2025.0,660.0,Lahore
Honda City  2016 1.3 i-VTEC for Sale,Honda,3400000.0,2016.0,1300.0,Lahore
Suzuki Cultus  2018 VXL for Sale,Suzuki,2610000.0,2018.0,1000.0,Lahore
Toyota Rav4  2002  for Sale,Toyota,2000000.0,2002.0,1800.0,N/A
Suzuki Mehran  2009 VXR for Sale,Suzuki,1150000.0,2009.0,800.0,Rawalpindi
Suzuki Cultus  2022 VXL for Sale,Suzuki,3800000.0,2022.0,1000.0,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,Honda,3400000.0,2018.0,1300.0,N/A
Toyota Land Cruiser  1993 79 Series 30th Anniversary for Sale,Toyota,4500000.0,1993.0,3000.0,Karachi
Toyota Corolla  1990 XL for Sale,Toyota,1300000.0,1990.0,1300.0,N/A
Toyota Premio  2007 X EX 1.8 for Sale,Toyota,3300000.0,2007.0,1800.0,Quetta
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
Daihatsu Rocky  2019 G for Sale,Daihatsu,5275000.0,2019.0,1000.0,Karachi
Mercedes Benz C Class  2018 C180 Exclusive for Sale,Mercedes,14500000.0,2018.0,1600.0,Karachi
Suzuki Cultus  2018 VXL for Sale,Suzuki,3025000.0,2018.0,1000.0,Lahore
"Nissan Juke  2013 15RS for Sale
6.6/10",Nissan,3350000.0,2013.0,1500.0,Lahore
Toyota Passo  2012  for Sale,Toyota,1925000.0,2012.0,1000.0,Karachi
"Toyota Passo  2008 X for Sale
5.1/10",Toyota,1700000.0,2008.0,1000.0,Karachi
Daihatsu Rocky  2020 Premium G for Sale,Daihatsu,5700000.0,2020.0,1000.0,Islamabad
"Suzuki Cultus  2021 Auto Gear Shift for Sale
8.1/10",Suzuki,3500000.0,2021.0,1000.0,Faisalabad
"Toyota Corolla  2013 GLi 1.3 VVTi for Sale
7.9/10",Toyota,3000000.0,2013.0,1300.0,Rawalpindi
"KIA Sorento  2025 1.6T HEV AWD for Sale
9.9/10",KIA,17500000.0,2025.0,1600.0,Lahore
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,Toyota,3095000.0,2010.0,1300.0,Lahore
"Nissan Patrol 6th (Y62) Generation 2014 Ti-L for Sale
8.6/10",Nissan,33000000.0,2014.0,5600.0,Lahore
Honda Civic  1991  for Sale,Honda,700000.0,1991.0,1700.0,Lahore
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Toyota,2550000.0,2012.0,1300.0,Rawalpindi
Daihatsu Mira  2016 X Limited for Sale,Daihatsu,2360000.0,2016.0,660.0,N/A
Toyota Sienta  2017 X for Sale,Toyota,5000000.0,2017.0,1500.0,Karachi
Suzuki Mehran  2016 VXR Euro II for Sale,Suzuki,1350000.0,2016.0,796.0,Rawalpindi
Suzuki Alto  2025 VXR Upgraded for Sale,Suzuki,2900000.0,2025.0,660.0,Lahore
Honda City  2016 1.3 i-VTEC for Sale,Honda,3400000.0,2016.0,1300.0,Lahore
Suzuki Cultus  2018 VXL for Sale,Suzuki,2610000.0,2018.0,1000.0,Lahore
Toyota Rav4  2002  for Sale,Toyota,2000000.0,2002.0,1800.0,N/A
Suzuki Mehran  2009 VXR for Sale,Suzuki,1150000.0,2009.0,800.0,Rawalpindi
Suzuki Cultus  2022 VXL for Sale,Suzuki,3800000.0,2022.0,1000.0,N/A
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,Honda,3400000.0,2018.0,1300.0,N/A
Toyota Land Cruiser  1993 79 Series 30th Anniversary for Sale,Toyota,4500000.0,1993.0,3000.0,Karachi
Toyota Corolla  1990 XL for Sale,Toyota,1300000.0,1990.0,1300.0,N/A
Toyota Premio  2007 X EX 1.8 for Sale,Toyota,3300000.0,2007.0,1800.0,Quetta
Suzuki Cultus  2013 EURO II for Sale,Suzuki,1375000.0,2013.0,1000.0,Karachi
Honda HR-V  2022  for Sale,Honda,6500000.0,2022.0,1500.0,N/A
